name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false
RZE__to__KAT_cand_849,0.24,6,11.3,11.1,0.3,3.5,1.0,True,1.0,0.36
RZE__to__KAT_cand_864,0.24,6,11.3,12.150000000000002,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_792,0.24,6,11.3,9.000000000000002,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_778,0.24,6,11.3,7.950000000000001,0.3,3.500000000000001,1.0,True,1.0,0.36
RZE__to__KAT_cand_777,0.24,6,11.3,7.950000000000001,0.3,3.5,1.0,True,1.0,0.36
RZE__to__KAT_cand_847,0.24,6,11.3,11.1,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_846,0.24,6,11.3,11.1,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_831,0.24,6,11.3,10.5,0.3,3.5,1.0,True,1.0,0.36
RZE__to__KAT_cand_832,0.24,6,11.3,10.5,0.3,3.500000000000001,1.0,True,1.0,0.36
RZE__to__KAT_cand_793,0.24,6,11.3,9.000000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_828,0.24,6,11.3,10.5,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_810,0.24,6,11.3,10.05,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_795,0.24,6,11.3,9.000000000000002,0.3,3.5,1.0,True,1.0,0.36
RZE__to__KAT_cand_830,0.24,6,11.3,10.5,0.3,1.3900000000000006,1.0,True,1.0,0.36
RZE__to__KAT_cand_829,0.24,6,11.3,10.5,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_796,0.24,6,11.3,9.000000000000002,0.3,3.500000000000001,1.0,True,1.0,0.36
RZE__to__KAT_cand_794,0.24,6,11.3,9.000000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.36
RZE__to__KAT_cand_813,0.24,6,11.3,10.05,0.3,3.5,1.0,True,1.0,0.36
RZE__to__KAT_cand_814,0.24,6,11.3,10.05,0.3,3.500000000000001,1.0,True,1.0,0.36
