name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE__to__KAT_cand_132__to__POZ_cand_372,0.324,6,11.3,1.1050000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_386,0.324,6,11.3,1.5450000000000004,0.3,-2.83,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_401,0.324,6,11.3,1.8650000000000004,0.3,5.9238,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_387,0.324,6,11.3,1.5450000000000004,0.3,-1.3076000000000008,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_409,0.324,6,11.3,2.625000000000001,0.3,-4.923300000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_389,0.324,6,11.3,1.5450000000000004,0.3,5.9238,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_408,0.324,6,11.3,2.625000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_421,0.324,6,11.3,3.3850000000000007,0.3,-4.923300000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_410,0.324,6,11.3,2.625000000000001,0.3,-2.83,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_411,0.324,6,11.3,2.625000000000001,0.3,-1.3076000000000008,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_413,0.324,6,11.3,2.625000000000001,0.3,5.9238,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_412,0.324,6,11.3,2.625000000000001,0.3,2.3081,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_373,0.324,6,11.3,1.1050000000000004,0.3,-4.923300000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_374,0.324,6,11.3,1.1050000000000004,0.3,-2.83,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_397,0.324,6,11.3,1.8650000000000004,0.3,-4.923300000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_396,0.324,6,11.3,1.8650000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_420,0.324,6,11.3,3.3850000000000007,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_434,0.324,6,11.3,4.0,0.3,-2.83,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_436,0.324,6,11.3,4.0,0.3,2.3081,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_435,0.324,6,11.3,4.0,0.3,-1.3076000000000008,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_468,0.324,6,11.3,5.665000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_469,0.324,6,11.3,5.665000000000001,0.3,-4.923300000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_444,0.324,6,11.3,4.1450000000000005,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_437,0.324,6,11.3,4.0,0.3,5.9238,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_470,0.324,6,11.3,5.665000000000001,0.3,-2.83,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_432,0.324,6,11.3,4.0,0.3,-8.539000000000001,1.0,True,1.0,0.285
RZE__to__KAT_cand_132__to__POZ_cand_473,0.324,6,11.3,5.665000000000001,0.3,5.9238,1.0,True,1.0,0.285
