name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency,min_distance_to_false
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_132,0.159,6,11.3,0.7750000000000006,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_145,0.159,6,11.3,1.1050000000000004,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_160,0.159,6,11.3,1.3450000000000006,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_159,0.159,6,11.3,1.3450000000000006,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_161,0.159,6,11.3,1.3450000000000006,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_168,0.159,6,11.3,1.9150000000000007,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_148,0.159,6,11.3,1.1050000000000004,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_147,0.159,6,11.3,1.1050000000000004,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_149,0.159,6,11.3,1.1050000000000004,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_173,0.159,6,11.3,1.9150000000000007,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_172,0.159,6,11.3,1.9150000000000007,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_137,0.159,6,11.3,0.7750000000000006,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_136,0.159,6,11.3,0.7750000000000006,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_171,0.159,6,11.3,1.9150000000000007,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_170,0.159,6,11.3,1.9150000000000007,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_169,0.159,6,11.3,1.9150000000000007,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_144,0.159,6,11.3,1.1050000000000004,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_193,0.159,6,11.3,3.0,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_195,0.159,6,11.3,3.0,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_194,0.159,6,11.3,3.0,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_197,0.159,6,11.3,3.0,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_204,0.159,6,11.3,3.055000000000001,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_205,0.159,6,11.3,3.055000000000001,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_196,0.159,6,11.3,3.0,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_184,0.159,6,11.3,2.4850000000000008,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_182,0.159,6,11.3,2.4850000000000008,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_192,0.159,6,11.3,3.0,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_185,0.159,6,11.3,2.4850000000000008,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_183,0.159,6,11.3,2.4850000000000008,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_180,0.159,6,11.3,2.4850000000000008,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_181,0.159,6,11.3,2.4850000000000008,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_206,0.159,6,11.3,3.055000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_232,0.159,6,11.3,4.195,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_233,0.159,6,11.3,4.195,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_228,0.159,6,11.3,4.195,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_229,0.159,6,11.3,4.195,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_230,0.159,6,11.3,4.195,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_231,0.159,6,11.3,4.195,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_221,0.159,6,11.3,3.625000000000001,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_220,0.159,6,11.3,3.625000000000001,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_209,0.159,6,11.3,3.055000000000001,0.3,4.036940000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_135,0.159,6,11.3,0.7750000000000006,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_146,0.159,6,11.3,1.1050000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_134,0.159,6,11.3,0.7750000000000006,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_156,0.159,6,11.3,1.3450000000000006,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_133,0.159,6,11.3,0.7750000000000006,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_157,0.159,6,11.3,1.3450000000000006,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_158,0.159,6,11.3,1.3450000000000006,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_218,0.159,6,11.3,3.625000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_219,0.159,6,11.3,3.625000000000001,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_217,0.159,6,11.3,3.625000000000001,0.3,-11.546290000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_216,0.159,6,11.3,3.625000000000001,0.3,-16.740700000000004,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_207,0.159,6,11.3,3.055000000000001,0.3,-6.351880000000001,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_208,0.159,6,11.3,3.055000000000001,0.3,-1.15747,1.0,True,1.0,0.165
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_534,0.7290000000000001,6,11.3,1.9150000000000007,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_582,0.7290000000000001,6,11.3,3.625000000000001,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_570,0.7290000000000001,6,11.3,3.055000000000001,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_594,0.7290000000000001,6,11.3,4.195,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_558,0.7290000000000001,6,11.3,3.0,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_546,0.7290000000000001,6,11.3,2.4850000000000008,0.3,9.231350000000004,1.0,True,1.0,0.28500000000000014
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_49,-0.1259999999999999,6,11.3,1.9150000000000007,0.3,-11.546290000000004,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_16,-0.1259999999999999,6,11.3,0.7750000000000006,0.3,-1.15747,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_17,-0.1259999999999999,6,11.3,0.7750000000000006,0.3,4.036940000000001,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_51,-0.1259999999999999,6,11.3,1.9150000000000007,0.3,-6.351880000000001,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_84,-0.1259999999999999,6,11.3,3.055000000000001,0.3,-16.740700000000004,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_77,-0.1259999999999999,6,11.3,3.0,0.3,4.036940000000001,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_76,-0.1259999999999999,6,11.3,3.0,0.3,-1.15747,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_75,-0.1259999999999999,6,11.3,3.0,0.3,-6.351880000000001,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_74,-0.1259999999999999,6,11.3,3.0,0.3,-8.539000000000001,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_73,-0.1259999999999999,6,11.3,3.0,0.3,-11.546290000000004,1.0,True,1.0,0.4499999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_65,-0.1259999999999999,6,11.3,2.4850000000000008,0.3,4.036940000000001,1.0,True,1.0,0.4499999999999999
