name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KRK_efficiency,min_distance_to_false
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_156,-0.0169999999999997,6,11.3,1.1050000000000004,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_158,-0.0169999999999997,6,11.3,1.1050000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_169,-0.0169999999999997,6,11.3,1.7370000000000003,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_184,-0.0169999999999997,6,11.3,3.2380000000000004,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_193,-0.0169999999999997,6,11.3,4.739000000000001,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_192,-0.0169999999999997,6,11.3,4.739000000000001,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_172,-0.0169999999999997,6,11.3,1.7370000000000003,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_171,-0.0169999999999997,6,11.3,1.7370000000000003,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_194,-0.0169999999999997,6,11.3,4.739000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_180,-0.0169999999999997,6,11.3,3.2380000000000004,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_196,-0.0169999999999997,6,11.3,4.739000000000001,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_195,-0.0169999999999997,6,11.3,4.739000000000001,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_216,-0.0169999999999997,6,11.3,7.741,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_217,-0.0169999999999997,6,11.3,7.741,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_208,-0.0169999999999997,6,11.3,6.240000000000001,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_207,-0.0169999999999997,6,11.3,6.240000000000001,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_206,-0.0169999999999997,6,11.3,6.240000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_204,-0.0169999999999997,6,11.3,6.240000000000001,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_205,-0.0169999999999997,6,11.3,6.240000000000001,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_218,-0.0169999999999997,6,11.3,7.741,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_229,-0.0169999999999997,6,11.3,7.9,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_242,-0.0169999999999997,6,11.3,9.242,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_241,-0.0169999999999997,6,11.3,9.242,0.3,-12.92129,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_232,-0.0169999999999997,6,11.3,7.9,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_231,-0.0169999999999997,6,11.3,7.9,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_230,-0.0169999999999997,6,11.3,7.9,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_240,-0.0169999999999997,6,11.3,9.242,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_228,-0.0169999999999997,6,11.3,7.9,0.3,-20.4907,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_220,-0.0169999999999997,6,11.3,7.741,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_219,-0.0169999999999997,6,11.3,7.741,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_244,-0.0169999999999997,6,11.3,9.242,0.3,2.21753,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_243,-0.0169999999999997,6,11.3,9.242,0.3,-5.351880000000001,1.0,True,1.0,0.3409999999999997
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_170,-0.0169999999999997,6,11.3,1.7370000000000003,0.3,-8.539000000000001,1.0,True,1.0,0.3409999999999997
