name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,LCJ_efficiency,SZZ_efficiency
RZE_cand_0,0.42,6,11.3,1.3299999999999998,0.3,2.4499999999999997,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_cand_1,0.42,6,11.3,1.3299999999999998,0.3,2.872,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_cand_2,0.42,6,11.3,1.3299999999999998,0.3,3.294,1.0000000000,true,1.0000000000,0.8925318761,0.8925318761
RZE_cand_3,0.42,6,11.3,1.3299999999999998,0.3,3.716,1.0000000000,true,1.0000000000,0.7911733046,0.7911733046
RZE_cand_4,0.42,6,11.3,1.3299999999999998,0.3,4.138,1.0000000000,true,1.0000000000,0.7104881585,0.7104881585
RZE_cand_5,0.42,6,11.3,1.3299999999999998,0.3,4.5600000000000005,1.0000000000,true,1.0000000000,0.7000000000,0.6982752721
RZE_cand_6,0.42,6,11.3,1.3299999999999998,0.3,4.982000000000001,1.0000000000,true,1.0000000000,0.7000000000,0.6969278603
RZE_cand_7,0.42,6,11.3,1.3299999999999998,0.3,5.404000000000001,1.0000000000,true,1.0000000000,0.7000000000,0.6959915150
RZE_cand_8,0.42,6,11.3,1.3299999999999998,0.3,5.8260000000000005,1.0000000000,true,1.0000000000,0.7000000000,0.6953030215
RZE_cand_9,0.42,6,11.3,1.3299999999999998,0.3,6.248000000000001,1.0000000000,true,1.0000000000,0.7000000000,0.6947754721
RZE_cand_10,0.42,6,11.3,1.3299999999999998,0.3,6.670000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6943583385
RZE_cand_11,0.42,6,11.3,1.3299999999999998,0.3,7.0920000000000005,1.0000000000,true,1.0000000000,0.7000000000,0.6940202397
RZE_cand_12,0.42,6,11.3,1.3299999999999998,0.3,7.514000000000001,1.0000000000,true,1.0000000000,0.7000000000,0.6937406574
RZE_cand_13,0.42,6,11.3,1.3299999999999998,0.3,7.936000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6935056098
RZE_cand_14,0.42,6,11.3,1.3299999999999998,0.3,8.358000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6933052411
RZE_cand_15,0.42,6,11.3,1.3299999999999998,0.3,8.780000000000001,1.0000000000,true,1.0000000000,0.7000000000,0.6931324037
RZE_cand_16,0.42,6,11.3,1.3299999999999998,0.3,9.202000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6929817880
RZE_cand_17,0.42,6,11.3,1.3299999999999998,0.3,9.624000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6928493674
RZE_cand_18,0.42,6,11.3,1.3299999999999998,0.3,10.046000000000003,1.0000000000,true,1.0000000000,0.7000000000,0.6927320326
RZE_cand_19,0.42,6,11.3,1.3299999999999998,0.3,10.468000000000002,1.0000000000,true,1.0000000000,0.7000000000,0.6926273445
