name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,GDN_efficiency,min_distance_to_false
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_12,0.024,6,11.3,0.8300000000000004,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_36,0.024,6,11.3,1.3050000000000004,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_37,0.024,6,11.3,1.3050000000000004,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_38,0.024,6,11.3,1.3050000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_13,0.024,6,11.3,0.8300000000000004,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_24,0.024,6,11.3,1.1050000000000004,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_25,0.024,6,11.3,1.1050000000000004,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_48,0.024,6,11.3,1.7800000000000002,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_39,0.024,6,11.3,1.3050000000000004,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_40,0.024,6,11.3,1.3050000000000004,0.3,0.1385299999999993,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_49,0.024,6,11.3,1.7800000000000002,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_52,0.024,6,11.3,1.7800000000000002,0.3,0.1385299999999993,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_60,0.024,6,11.3,2.2550000000000003,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_61,0.024,6,11.3,2.2550000000000003,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_50,0.024,6,11.3,1.7800000000000002,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_51,0.024,6,11.3,1.7800000000000002,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_76,0.024,6,11.3,2.5,0.3,0.1385299999999993,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_74,0.024,6,11.3,2.5,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_85,0.024,6,11.3,2.7300000000000004,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_84,0.024,6,11.3,2.7300000000000004,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_96,0.024,6,11.3,3.205,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_87,0.024,6,11.3,2.7300000000000004,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_88,0.024,6,11.3,2.7300000000000004,0.3,0.1385299999999993,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_86,0.024,6,11.3,2.7300000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_64,0.024,6,11.3,2.2550000000000003,0.3,0.1385299999999993,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_72,0.024,6,11.3,2.5,0.3,-18.1807,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_73,0.024,6,11.3,2.5,0.3,-12.07429,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_75,0.024,6,11.3,2.5,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_63,0.024,6,11.3,2.2550000000000003,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_62,0.024,6,11.3,2.2550000000000003,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_110,0.024,6,11.3,3.68,0.3,-8.539000000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_111,0.024,6,11.3,3.68,0.3,-5.967880000000001,1.0,True,1.0,0.19
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_97,0.024,6,11.3,3.205,0.3,-12.07429,1.0,True,1.0,0.19
