name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,LCJ_efficiency,SZZ_efficiency,min_distance_to_false,iteration,reference_frontier,POZ_efficiency,WAW_efficiency,KRK_efficiency,WRO_efficiency,GDN_efficiency,BZG_efficiency
RZE_cand_9861,0.5040000000000001,6,11.3,1.5599999999999998,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15463,0.5760000000000002,6,11.3,2.3999999999999995,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_9973,0.5040000000000001,6,11.3,1.6649999999999998,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15575,0.5760000000000002,6,11.3,2.505,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17256,0.6120000000000002,6,11.3,1.875,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10085,0.5040000000000001,6,11.3,1.7699999999999998,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10197,0.5040000000000001,6,11.3,1.875,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15351,0.5760000000000002,6,11.3,2.295,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_9188,0.4680000000000001,6,11.3,3.135,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_9300,0.4680000000000001,6,11.3,3.24,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17368,0.6120000000000002,6,11.3,1.98,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15239,0.5760000000000002,6,11.3,2.1899999999999995,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_16359,0.5760000000000002,6,11.3,3.24,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10309,0.5040000000000001,6,11.3,1.98,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17480,0.6120000000000002,6,11.3,2.085,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10421,0.5040000000000001,6,11.3,2.085,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_9076,0.4680000000000001,6,11.3,3.03,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13110,0.5400000000000001,6,11.3,2.3999999999999995,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8964,0.4680000000000001,6,11.3,2.925,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15127,0.5760000000000002,6,11.3,2.085,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17592,0.6120000000000002,6,11.3,2.1899999999999995,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8852,0.4680000000000001,6,11.3,2.8199999999999994,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17704,0.6120000000000002,6,11.3,2.295,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10533,0.5040000000000001,6,11.3,2.1899999999999995,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15015,0.5760000000000002,6,11.3,1.98,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10645,0.5040000000000001,6,11.3,2.295,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17816,0.6120000000000002,6,11.3,2.3999999999999995,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15687,0.5760000000000002,6,11.3,2.6099999999999994,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_17928,0.6120000000000002,6,11.3,2.505,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10757,0.5040000000000001,6,11.3,2.3999999999999995,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8740,0.4680000000000001,6,11.3,2.715,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_14903,0.5760000000000002,6,11.3,1.875,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8628,0.4680000000000001,6,11.3,2.6099999999999994,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12998,0.5400000000000001,6,11.3,2.295,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_16247,0.5760000000000002,6,11.3,3.135,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8516,0.4680000000000001,6,11.3,2.505,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10869,0.5040000000000001,6,11.3,2.505,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18040,0.6120000000000002,6,11.3,2.6099999999999994,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_14791,0.5760000000000002,6,11.3,1.7699999999999998,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8404,0.4680000000000001,6,11.3,2.3999999999999995,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8292,0.4680000000000001,6,11.3,2.295,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_10981,0.5040000000000001,6,11.3,2.6099999999999994,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18264,0.6120000000000002,6,11.3,2.8199999999999994,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15799,0.5760000000000002,6,11.3,2.715,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18152,0.6120000000000002,6,11.3,2.715,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8180,0.4680000000000001,6,11.3,2.1899999999999995,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11093,0.5040000000000001,6,11.3,2.715,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11205,0.5040000000000001,6,11.3,2.8199999999999994,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18376,0.6120000000000002,6,11.3,2.925,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18488,0.6120000000000002,6,11.3,3.03,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12886,0.5400000000000001,6,11.3,2.1899999999999995,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_16135,0.5760000000000002,6,11.3,3.03,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_8068,0.4680000000000001,6,11.3,2.085,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7956,0.4680000000000001,6,11.3,1.98,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11317,0.5040000000000001,6,11.3,2.925,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18600,0.6120000000000002,6,11.3,3.135,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11429,0.5040000000000001,6,11.3,3.03,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_18712,0.6120000000000002,6,11.3,3.24,0.3,3.787999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11541,0.5040000000000001,6,11.3,3.135,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7844,0.4680000000000001,6,11.3,1.875,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7732,0.4680000000000001,6,11.3,1.7699999999999998,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_11653,0.5040000000000001,6,11.3,3.24,0.3,3.155,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_14006,0.5400000000000001,6,11.3,3.24,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7620,0.4680000000000001,6,11.3,1.6649999999999998,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_15911,0.5760000000000002,6,11.3,2.8199999999999994,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13894,0.5400000000000001,6,11.3,3.135,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7508,0.4680000000000001,6,11.3,1.5599999999999998,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_16023,0.5760000000000002,6,11.3,2.925,0.3,3.576999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_7396,0.4680000000000001,6,11.3,1.4549999999999998,0.3,2.9439999999999995,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13782,0.5400000000000001,6,11.3,3.03,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12326,0.5400000000000001,6,11.3,1.6649999999999998,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12438,0.5400000000000001,6,11.3,1.7699999999999998,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13670,0.5400000000000001,6,11.3,2.925,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12550,0.5400000000000001,6,11.3,1.875,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13558,0.5400000000000001,6,11.3,2.8199999999999994,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12662,0.5400000000000001,6,11.3,1.98,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13446,0.5400000000000001,6,11.3,2.715,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13334,0.5400000000000001,6,11.3,2.6099999999999994,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_12774,0.5400000000000001,6,11.3,2.085,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_13222,0.5400000000000001,6,11.3,2.505,0.3,3.365999999999999,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_4928,0.432,6,11.3,1.35,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5266,0.432,6,11.3,1.6649999999999998,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5265,0.432,6,11.3,1.6649999999999998,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5042,0.432,6,11.3,1.4549999999999998,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5264,0.432,6,11.3,1.6649999999999998,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5043,0.432,6,11.3,1.4549999999999998,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5824,0.432,6,11.3,2.1899999999999995,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5715,0.432,6,11.3,2.085,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5714,0.432,6,11.3,2.085,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5713,0.432,6,11.3,2.085,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5712,0.432,6,11.3,2.085,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5827,0.432,6,11.3,2.1899999999999995,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5491,0.432,6,11.3,1.875,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5601,0.432,6,11.3,1.98,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5600,0.432,6,11.3,1.98,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5603,0.432,6,11.3,1.98,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5602,0.432,6,11.3,1.98,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5378,0.432,6,11.3,1.7699999999999998,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_4929,0.432,6,11.3,1.35,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5490,0.432,6,11.3,1.875,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5489,0.432,6,11.3,1.875,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5488,0.432,6,11.3,1.875,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5379,0.432,6,11.3,1.7699999999999998,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5826,0.432,6,11.3,2.1899999999999995,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5937,0.432,6,11.3,2.295,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6944,0.432,6,11.3,3.24,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6947,0.432,6,11.3,3.24,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6946,0.432,6,11.3,3.24,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6945,0.432,6,11.3,3.24,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6721,0.432,6,11.3,3.03,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6835,0.432,6,11.3,3.135,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6834,0.432,6,11.3,3.135,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6833,0.432,6,11.3,3.135,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6832,0.432,6,11.3,3.135,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6723,0.432,6,11.3,3.03,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6610,0.432,6,11.3,2.925,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6722,0.432,6,11.3,3.03,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6498,0.432,6,11.3,2.8199999999999994,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6497,0.432,6,11.3,2.8199999999999994,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6720,0.432,6,11.3,3.03,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6611,0.432,6,11.3,2.925,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5936,0.432,6,11.3,2.295,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6050,0.432,6,11.3,2.3999999999999995,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6049,0.432,6,11.3,2.3999999999999995,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6609,0.432,6,11.3,2.925,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6608,0.432,6,11.3,2.925,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6499,0.432,6,11.3,2.8199999999999994,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5377,0.432,6,11.3,1.7699999999999998,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5376,0.432,6,11.3,1.7699999999999998,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6496,0.432,6,11.3,2.8199999999999994,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6387,0.432,6,11.3,2.715,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6274,0.432,6,11.3,2.6099999999999994,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6273,0.432,6,11.3,2.6099999999999994,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6272,0.432,6,11.3,2.6099999999999994,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6163,0.432,6,11.3,2.505,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6386,0.432,6,11.3,2.715,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6385,0.432,6,11.3,2.715,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6048,0.432,6,11.3,2.3999999999999995,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5939,0.432,6,11.3,2.295,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5938,0.432,6,11.3,2.295,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6160,0.432,6,11.3,2.505,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6162,0.432,6,11.3,2.505,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6161,0.432,6,11.3,2.505,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6384,0.432,6,11.3,2.715,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6275,0.432,6,11.3,2.6099999999999994,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_6051,0.432,6,11.3,2.3999999999999995,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5040,0.432,6,11.3,1.4549999999999998,0.3,2.1,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_4931,0.432,6,11.3,1.35,0.3,2.733,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5825,0.432,6,11.3,2.1899999999999995,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_5041,0.432,6,11.3,1.4549999999999998,0.3,2.311,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
RZE_cand_4930,0.432,6,11.3,1.35,0.3,2.522,1.0,True,1.0,1.0,1.0,0.036,1,3,,,,,,
