name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false,iteration,reference_frontier,from_point_name,to_reference_name,node_id,parent_node_id,path_id,POZ_efficiency,WAW_efficiency,KRK_efficiency,WRO_efficiency,GDN_efficiency
RZE__to__KAT_cand_828,0.24,6,11.3,10.5,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_810,0.24,6,11.3,10.05,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_795,0.24,6,11.3,9.000000000000002,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_830,0.24,6,11.3,10.5,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_829,0.24,6,11.3,10.5,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_796,0.24,6,11.3,9.000000000000002,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_794,0.24,6,11.3,9.000000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_813,0.24,6,11.3,10.05,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_814,0.24,6,11.3,10.05,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_812,0.24,6,11.3,10.05,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_811,0.24,6,11.3,10.05,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_649,0.24,6,11.3,1.6500000000000004,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_704,0.24,6,11.3,3.75,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_702,0.24,6,11.3,3.75,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_721,0.24,6,11.3,4.800000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_504,-0.12,6,11.3,10.05,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_382,-0.12,6,11.3,2.7000000000000006,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_379,-0.12,6,11.3,2.7000000000000006,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_418,-0.12,6,11.3,4.800000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_487,-0.12,6,11.3,9.000000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_541,-0.12,6,11.3,11.1,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_490,-0.12,6,11.3,9.000000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_505,-0.12,6,11.3,10.05,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_400,-0.12,6,11.3,3.75,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_472,-0.12,6,11.3,7.950000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_471,-0.12,6,11.3,7.950000000000001,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_486,-0.12,6,11.3,9.000000000000002,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_540,-0.12,6,11.3,11.1,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_470,-0.12,6,11.3,7.950000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_543,-0.12,6,11.3,11.1,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_523,-0.12,6,11.3,10.5,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_522,-0.12,6,11.3,10.5,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_524,-0.12,6,11.3,10.5,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_489,-0.12,6,11.3,9.000000000000002,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_561,-0.12,6,11.3,12.150000000000002,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_562,-0.12,6,11.3,12.150000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_577,-0.12,6,11.3,13.2,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_488,-0.12,6,11.3,9.000000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_454,-0.12,6,11.3,6.9,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_453,-0.12,6,11.3,6.9,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_542,-0.12,6,11.3,11.1,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_468,-0.12,6,11.3,7.950000000000001,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_469,-0.12,6,11.3,7.950000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_558,-0.12,6,11.3,12.150000000000002,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_560,-0.12,6,11.3,12.150000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_559,-0.12,6,11.3,12.150000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_435,-0.12,6,11.3,5.850000000000001,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_380,-0.12,6,11.3,2.7000000000000006,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_361,-0.12,6,11.3,2.7,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_451,-0.12,6,11.3,6.9,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_450,-0.12,6,11.3,6.9,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_579,-0.12,6,11.3,13.2,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_580,-0.12,6,11.3,13.2,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_578,-0.12,6,11.3,13.2,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_452,-0.12,6,11.3,6.9,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_598,-0.12,6,11.3,14.250000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_576,-0.12,6,11.3,13.2,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_436,-0.12,6,11.3,5.850000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_594,-0.12,6,11.3,14.250000000000002,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_597,-0.12,6,11.3,14.250000000000002,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_434,-0.12,6,11.3,5.850000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_433,-0.12,6,11.3,5.850000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_362,-0.12,6,11.3,2.7,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_596,-0.12,6,11.3,14.250000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_595,-0.12,6,11.3,14.250000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_343,-0.12,6,11.3,1.6500000000000004,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_416,-0.12,6,11.3,4.800000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_344,-0.12,6,11.3,1.6500000000000004,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_360,-0.12,6,11.3,2.7,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_378,-0.12,6,11.3,2.7000000000000006,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_415,-0.12,6,11.3,4.800000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_398,-0.12,6,11.3,3.75,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_399,-0.12,6,11.3,3.75,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_364,-0.12,6,11.3,2.7,0.3,3.500000000000001,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_414,-0.12,6,11.3,4.800000000000001,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_507,-0.12,6,11.3,10.05,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_506,-0.12,6,11.3,10.05,0.3,1.3900000000000006,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_432,-0.12,6,11.3,5.850000000000001,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_417,-0.12,6,11.3,4.800000000000001,0.3,3.5,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_396,-0.12,6,11.3,3.75,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_342,-0.12,6,11.3,1.6500000000000004,0.3,-2.83,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_397,-0.12,6,11.3,3.75,0.3,-0.7199999999999998,1.0,True,1.0,0.72,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_4935,4.92,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_1263,0.96,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_3711,3.6,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_3712,3.6,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
