name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false,efficiency_sum,iteration,reference_frontier,from_point_name,to_reference_name,node_id,parent_node_id,path_id,POZ_efficiency,WAW_efficiency,KRK_efficiency,WRO_efficiency,GDN_efficiency
RZE__to__KAT_cand_2309,2.0400000000000005,6,11.3,7.950000000000001,0.3,5.610000000000001,1.0,True,1.0,2.140490597970475,2.0,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_2309__to__POZ_cand_2469,2.724000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,,0.7950000000000004,2.0,2,2,RZE__to__KAT_cand_2309,POZ,node_branch_000004,node_branch_000001,RZE -> KAT -> POZ,1.0,,,,
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_326,0.6240000000000012,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,,0.7000000000000002,2.0,3,1,RZE__to__KAT_cand_2309__to__POZ_cand_2469,WAW,node_branch_000005,node_branch_000004,RZE -> KAT -> POZ -> WAW,,1.0,,,
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_16,1.7940000000000011,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0,True,,0.79,2.0,3,1,RZE__to__KAT_cand_2309__to__POZ_cand_2469,KRK,node_branch_000006,node_branch_000004,RZE -> KAT -> POZ -> KRK,,,1.0,,
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_79,0.6827999999999997,6,11.3,1.915,0.3,9.110000000000005,1.0,True,,0.2724000000000001,2.0,3,1,RZE__to__KAT_cand_2309__to__POZ_cand_2469,WRO,node_branch_000007,node_branch_000004,RZE -> KAT -> POZ -> WRO,,,,1.0,
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_178,0.1827999999999997,6,11.3,3.365,0.3,4.870000000000003,1.0,True,,0.2724000000000002,2.0,3,1,RZE__to__KAT_cand_2309__to__POZ_cand_2469,GDN,node_branch_000008,node_branch_000004,RZE -> KAT -> POZ -> GDN,,,,,1.0
