name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE_cand_7284_cand_2025,0.5616000000000001,6,11.3,2.3400000000000007,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3691,0.5766000000000001,6,11.3,2.1000000000000005,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22458,0.6966000000000002,6,11.3,2.140000000000001,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_6800,0.5916000000000001,6,11.3,2.380000000000001,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_1803,0.5616000000000001,6,11.3,2.2600000000000007,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_13685,0.6366000000000002,6,11.3,2.3400000000000007,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_20903,0.6816000000000002,6,11.3,2.420000000000001,0.3,7.436399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22791,0.6966000000000002,6,11.3,2.2600000000000007,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8910,0.6066000000000001,6,11.3,2.3000000000000007,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_12020,0.6366000000000002,6,11.3,1.7400000000000002,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_14574,0.6516000000000002,6,11.3,1.8200000000000005,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_9799,0.6216000000000002,6,11.3,1.7800000000000002,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_12575,0.6366000000000002,6,11.3,1.9400000000000004,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_15129,0.6516000000000002,6,11.3,2.0200000000000005,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_18349,0.6666000000000002,6,11.3,2.3400000000000007,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_2692,0.5766000000000001,6,11.3,1.7400000000000002,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22347,0.6966000000000002,6,11.3,2.1000000000000005,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
