name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_44,0.7332000000000001,6,11.3,2.8,0.3,16.85719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_45,0.7332000000000001,6,11.3,2.8,0.3,17.181199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_46,0.7332000000000001,6,11.3,2.8,0.3,17.50519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_47,0.7332000000000001,6,11.3,2.8,0.3,17.829199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_48,0.7332000000000001,6,11.3,2.8,0.3,18.15319999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_49,0.7332000000000001,6,11.3,2.8,0.3,18.477199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_50,0.7332000000000001,6,11.3,2.8,0.3,18.80119999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_51,0.7332000000000001,6,11.3,2.8,0.3,19.125199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_52,0.7332000000000001,6,11.3,2.8,0.3,19.44919999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_53,0.7332000000000001,6,11.3,2.8,0.3,19.77319999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_54,0.7332000000000001,6,11.3,2.8,0.3,20.09719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_55,0.7332000000000001,6,11.3,2.8,0.3,20.421199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_56,0.7332000000000001,6,11.3,2.8,0.3,20.74519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_57,0.7332000000000001,6,11.3,2.8,0.3,21.069199999999988,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_58,0.7332000000000001,6,11.3,2.88,0.3,2.6012,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_59,0.7332000000000001,6,11.3,2.88,0.3,2.9252,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_60,0.7332000000000001,6,11.3,2.88,0.3,3.2491999999999996,0.4901293397,false,1.0000000000
