candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_556,0.42,6.0,11.3,1.48,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_558,0.48,6.0,11.3,1.42,0.3,2.7,0.9560798548,False,1.0,1.0,1.0,True
RZE_resampled_562,0.48,6.0,11.3,1.5,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_573,0.45,6.0,11.3,1.55,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_574,0.48,6.0,11.3,1.58,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_578,0.48,6.0,11.3,1.42,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_584,0.42,6.0,11.3,1.6,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_585,0.45,6.0,11.3,1.6,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_586,0.48,6.0,11.3,1.6,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_587,0.4279942074,6.0,11.3,1.584812681,0.3,2.5186221382,1.0,True,1.0,1.0,1.0,True
RZE_resampled_591,0.4598390038,6.0,11.3,1.5681109135,0.3,2.5307158624,0.9786033726,False,1.0,1.0,1.0,True
RZE_resampled_597,0.45,6.0,11.3,1.65,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_598,0.48,6.0,11.3,1.68,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_599,0.4460389596,6.0,11.3,1.5890556838,0.3,2.4326476754,1.0,True,1.0,1.0,1.0,True
RZE_resampled_603,0.4390020481,6.0,11.3,1.6047316783,0.3,2.663276421,1.0,True,1.0,1.0,1.0,True
RZE_resampled_605,0.45,6.0,11.3,1.6,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_606,0.48,6.0,11.3,1.6,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_613,0.45,6.0,11.3,1.65,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_614,0.48,6.0,11.3,1.68,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_618,0.48,6.0,11.3,1.52,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_619,0.4317103351,6.0,11.3,1.6353932524,0.3,2.6768230997,1.0,True,1.0,1.0,1.0,True
RZE_resampled_623,0.4321920754,6.0,11.3,1.5983813111,0.3,2.9811569608,1.0,True,1.0,1.0,1.0,True
RZE_resampled_626,0.48,6.0,11.3,1.6,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_627,0.4381239786,6.0,11.3,1.5563633084,0.3,2.8068021413,1.0,True,1.0,1.0,1.0,True
RZE_resampled_631,0.4220926619,6.0,11.3,1.5987264875,0.3,2.8202196806,1.0,True,1.0,1.0,1.0,True
RZE_resampled_633,0.45,6.0,11.3,1.65,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_634,0.48,6.0,11.3,1.68,0.3,2.9,0.9974468085,False,1.0,1.0,1.0,True
RZE_resampled_635,0.4811880711,6.0,11.3,1.6493422622,0.3,2.8137938026,0.9707110788,False,1.0,1.0,1.0,True
RZE_resampled_638,0.48,6.0,11.3,1.52,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_639,0.4567585835,6.0,11.3,1.6041499241,0.3,2.8854450238,1.0,True,1.0,1.0,1.0,True
RZE_resampled_646,0.48,6.0,11.3,1.6,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_650,0.48,6.0,11.3,1.68,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_651,0.4627999581,6.0,11.3,1.541874312,0.3,2.995994464,1.0,True,1.0,1.0,1.0,True
RZE_resampled_664,0.42,6.0,11.3,1.7,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_665,0.45,6.0,11.3,1.7,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_666,0.48,6.0,11.3,1.7,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_668,0.4,6.0,11.3,1.72,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_669,0.4,6.0,11.3,1.75,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_671,0.4041185075,6.0,11.3,1.6263727987,0.3,2.5319460033,1.0,True,1.0,1.0,1.0,True
RZE_resampled_672,0.42,6.0,11.3,1.68,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_674,0.48,6.0,11.3,1.62,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_675,0.4278745639,6.0,11.3,1.7106924506,0.3,2.4897512907,1.0,True,1.0,1.0,1.0,True
RZE_resampled_679,0.4502156071,6.0,11.3,1.6626868085,0.3,2.5457314082,0.9995211025,False,1.0,1.0,1.0,True
RZE_resampled_685,0.45,6.0,11.3,1.7,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_686,0.48,6.0,11.3,1.7,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_687,0.3997099708,6.0,11.3,1.6634339622,0.3,2.6437490813,1.0,True,1.0,1.0,1.0,True
RZE_resampled_692,0.42,6.0,11.3,1.68,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_694,0.48,6.0,11.3,1.62,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_697,0.45,6.0,11.3,1.75,0.3,2.7,1.0,True,1.0,1.0,1.0,True
