name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,LCJ_efficiency
RZE__to__LCJ_cand_47,0.3,6,11.3,2.7000000000000006,0.3,4.76,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_48,0.3,6,11.3,2.7000000000000006,0.3,5.18,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_49,0.3,6,11.3,2.7000000000000006,0.3,5.6,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_50,0.3,6,11.3,3.0900000000000007,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_51,0.3,6,11.3,3.0900000000000007,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_52,0.3,6,11.3,3.0900000000000007,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_53,0.3,6,11.3,3.0900000000000007,0.3,3.5,1.0000000000,true,0.9507692308
RZE__to__LCJ_cand_54,0.3,6,11.3,3.0900000000000007,0.3,3.92,1.0000000000,true,0.8489010989
RZE__to__LCJ_cand_55,0.3,6,11.3,3.0900000000000007,0.3,4.2,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_56,0.3,6,11.3,3.0900000000000007,0.3,4.34,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_57,0.3,6,11.3,3.0900000000000007,0.3,4.76,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_58,0.3,6,11.3,3.0900000000000007,0.3,5.18,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_59,0.3,6,11.3,3.0900000000000007,0.3,5.6,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_60,0.3,6,11.3,3.480000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_61,0.3,6,11.3,3.480000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_62,0.3,6,11.3,3.480000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_63,0.3,6,11.3,3.480000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_64,0.3,6,11.3,3.480000000000001,0.3,3.92,1.0000000000,true,0.9560439560
