name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WAW_efficiency,min_distance_to_false
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_302,0.324,6,11.3,1.6650000000000005,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_324,0.324,6,11.3,4.325000000000001,0.3,-50.01069999999999,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_315,0.324,6,11.3,2.995000000000001,0.3,2.5201199999999986,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_314,0.324,6,11.3,2.995000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_277,0.324,6,11.3,0.3350000000000004,0.3,-23.74529,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_300,0.324,6,11.3,1.6650000000000005,0.3,-50.01069999999999,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_276,0.324,6,11.3,0.3350000000000004,0.3,-50.01069999999999,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_326,0.324,6,11.3,4.325000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_327,0.324,6,11.3,4.325000000000001,0.3,2.5201199999999986,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_325,0.324,6,11.3,4.325000000000001,0.3,-23.74529,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_350,0.324,6,11.3,6.985000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_349,0.324,6,11.3,6.985000000000001,0.3,-23.74529,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_336,0.324,6,11.3,5.655000000000001,0.3,-50.01069999999999,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_337,0.324,6,11.3,5.655000000000001,0.3,-23.74529,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_338,0.324,6,11.3,5.655000000000001,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_339,0.324,6,11.3,5.655000000000001,0.3,2.5201199999999986,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_348,0.324,6,11.3,6.985000000000001,0.3,-50.01069999999999,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_291,0.324,6,11.3,1.1050000000000004,0.3,2.5201199999999986,1.0,True,1.0,0.8399999999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WAW_cand_290,0.324,6,11.3,1.1050000000000004,0.3,-8.539000000000001,1.0,True,1.0,0.8399999999999999
