name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2,0.6827999999999997,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_18,0.6827999999999997,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_632,1.5,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_212,0.9551999999999998,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_842,1.7724000000000002,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_228,0.9551999999999998,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2118,3.1344000000000007,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_648,1.5,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2328,3.406800000000001,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1278,2.3172,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1068,2.0448000000000004,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_858,1.7724000000000002,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2102,3.1344000000000007,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1052,2.0448000000000004,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2312,3.406800000000001,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_34,0.6827999999999997,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.405218163462597
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2539,3.6792000000000007,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
