name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,RZE_efficiency,IEG_efficiency
RZE_cand_111_cand_0,0.08000000000000002,6,11.3,1.7479999999999998,0.3,3.084,1.0000000000,true,1.0000000000,0.1582360571
RZE_cand_111_cand_1,0.08000000000000002,6,11.3,1.7479999999999998,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.1489280537
RZE_cand_111_cand_2,0.08000000000000002,6,11.3,1.7479999999999998,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.1406542729
RZE_cand_111_cand_3,0.08000000000000002,6,11.3,1.7479999999999998,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.1332514165
RZE_cand_111_cand_4,0.08000000000000002,6,11.3,1.7479999999999998,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.1265888457
RZE_cand_111_cand_5,0.08000000000000002,6,11.3,1.7479999999999998,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1205608054
RZE_cand_111_cand_6,0.08000000000000002,6,11.3,1.8979999999999997,0.3,3.084,1.0000000000,true,1.0000000000,0.1582360571
RZE_cand_111_cand_7,0.08000000000000002,6,11.3,1.8979999999999997,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.1489280537
RZE_cand_111_cand_8,0.08000000000000002,6,11.3,1.8979999999999997,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.1406542729
RZE_cand_111_cand_9,0.08000000000000002,6,11.3,1.8979999999999997,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.1332514165
RZE_cand_111_cand_10,0.08000000000000002,6,11.3,1.8979999999999997,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.1265888457
RZE_cand_111_cand_11,0.08000000000000002,6,11.3,1.8979999999999997,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1205608054
RZE_cand_111_cand_12,0.08000000000000002,6,11.3,2.0479999999999996,0.3,3.084,1.0000000000,true,1.0000000000,0.1582360571
RZE_cand_111_cand_13,0.08000000000000002,6,11.3,2.0479999999999996,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.1489280537
RZE_cand_111_cand_14,0.08000000000000002,6,11.3,2.0479999999999996,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.1406542729
RZE_cand_111_cand_15,0.08000000000000002,6,11.3,2.0479999999999996,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.1332514165
RZE_cand_111_cand_16,0.08000000000000002,6,11.3,2.0479999999999996,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.1265888457
RZE_cand_111_cand_17,0.08000000000000002,6,11.3,2.0479999999999996,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1205608054
RZE_cand_111_cand_18,0.08000000000000002,6,11.3,2.1979999999999995,0.3,3.084,1.0000000000,true,1.0000000000,0.1582360571
RZE_cand_111_cand_19,0.08000000000000002,6,11.3,2.1979999999999995,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.1489280537
RZE_cand_111_cand_20,0.08000000000000002,6,11.3,2.1979999999999995,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.1406542729
RZE_cand_111_cand_21,0.08000000000000002,6,11.3,2.1979999999999995,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.1332514165
RZE_cand_111_cand_22,0.08000000000000002,6,11.3,2.1979999999999995,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.1265888457
RZE_cand_111_cand_23,0.08000000000000002,6,11.3,2.1979999999999995,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1205608054
RZE_cand_111_cand_24,0.13,6,11.3,1.7479999999999998,0.3,3.084,1.0000000000,true,1.0000000000,0.2571335927
RZE_cand_111_cand_25,0.13,6,11.3,1.7479999999999998,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.2420080873
RZE_cand_111_cand_26,0.13,6,11.3,1.7479999999999998,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.2285631935
RZE_cand_111_cand_27,0.13,6,11.3,1.7479999999999998,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2165335518
RZE_cand_111_cand_28,0.13,6,11.3,1.7479999999999998,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2057068742
RZE_cand_111_cand_29,0.13,6,11.3,1.7479999999999998,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1959113088
RZE_cand_111_cand_30,0.13,6,11.3,1.8979999999999997,0.3,3.084,1.0000000000,true,1.0000000000,0.2571335927
RZE_cand_111_cand_31,0.13,6,11.3,1.8979999999999997,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.2420080873
RZE_cand_111_cand_32,0.13,6,11.3,1.8979999999999997,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.2285631935
RZE_cand_111_cand_33,0.13,6,11.3,1.8979999999999997,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2165335518
RZE_cand_111_cand_34,0.13,6,11.3,1.8979999999999997,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2057068742
RZE_cand_111_cand_35,0.13,6,11.3,1.8979999999999997,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1959113088
RZE_cand_111_cand_36,0.13,6,11.3,2.0479999999999996,0.3,3.084,1.0000000000,true,1.0000000000,0.2571335927
RZE_cand_111_cand_37,0.13,6,11.3,2.0479999999999996,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.2420080873
RZE_cand_111_cand_38,0.13,6,11.3,2.0479999999999996,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.2285631935
RZE_cand_111_cand_39,0.13,6,11.3,2.0479999999999996,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2165335518
RZE_cand_111_cand_40,0.13,6,11.3,2.0479999999999996,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2057068742
RZE_cand_111_cand_41,0.13,6,11.3,2.0479999999999996,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1959113088
RZE_cand_111_cand_42,0.13,6,11.3,2.1979999999999995,0.3,3.084,1.0000000000,true,1.0000000000,0.2571335927
RZE_cand_111_cand_43,0.13,6,11.3,2.1979999999999995,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.2420080873
RZE_cand_111_cand_44,0.13,6,11.3,2.1979999999999995,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.2285631935
RZE_cand_111_cand_45,0.13,6,11.3,2.1979999999999995,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2165335518
RZE_cand_111_cand_46,0.13,6,11.3,2.1979999999999995,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2057068742
